topico,fecha,diario,seccion,freq
odio,2022-09-09,clarin,sociedad,0
copitos,2022-09-09,paginadoce,sociedad,0
odio,2022-09-09,paginadoce,sociedad,0
copitos,2022-09-09,clarin,politica,1
odio,2022-09-09,clarin,politica,2
copitos,2022-09-09,lanacion,seguridad,0
odio,2022-09-09,lanacion,seguridad,0
copitos,2022-09-09,paginadoce,deportes,0
odio,2022-09-09,paginadoce,deportes,0
copitos,2022-09-09,ambito,opinion,0
odio,2022-09-09,ambito,opinion,0
copitos,2022-09-09,paginadoce,no,0
odio,2022-09-09,paginadoce,no,0
copitos,2022-09-09,lanacion,tecnologia,0
odio,2022-09-09,lanacion,tecnologia,0
copitos,2022-09-09,lanacion,buenos-aires,0
odio,2022-09-09,lanacion,buenos-aires,0
copitos,2022-09-09,lanacion,cultura,0
odio,2022-09-09,lanacion,cultura,0
copitos,2022-09-09,lanacion,salud,0
odio,2022-09-09,lanacion,salud,0
copitos,2022-09-09,clarin,opinion,0
