topico,fecha,diario,seccion,freq
odio,2022-09-09,clarin,opinion,0
copitos,2022-09-09,eldestape,sociedad,0
odio,2022-09-09,eldestape,sociedad,0
copitos,2022-09-09,todonoticias,autos,0
odio,2022-09-09,todonoticias,autos,0
copitos,2022-09-09,clarin,ciudades,0
odio,2022-09-09,clarin,ciudades,0
copitos,2022-09-09,clarin,tecnologia,0
odio,2022-09-09,clarin,tecnologia,0
copitos,2022-09-09,clarin,viajes,0
odio,2022-09-09,clarin,viajes,0
copitos,2022-09-09,lanacion,comunidad,0
odio,2022-09-09,lanacion,comunidad,0
copitos,2022-09-09,ambito,lifestyle,0
odio,2022-09-09,ambito,lifestyle,0
copitos,2022-09-09,paginadoce,psicologia,0
odio,2022-09-09,paginadoce,psicologia,0
copitos,2022-09-09,clarin,cultura,0
odio,2022-09-09,clarin,cultura,0
copitos,2022-09-09,clarin,cartas-al-pais,0
odio,2022-09-09,clarin,cartas-al-pais,0
copitos,2022-09-10,perfil,economia,0
